Query	UserId	Lenth	templateId	templateText	etalon	lem_etalon	score
"Здравствуйте. Автомобиль в лизинге , у нас право пользование арендой 
кто оплачивает транспортный налог?"	8677676	15	0				0.0
Здравствуйте! Может ли сотрудница заменить расчетные годы при оформлении больничного по беременности и родам?	642230	14	509925	Заменять расчетный период можно только на те годы или год, которые непосредственно предшествуют наступлению страхового случая. Далее см. https://vip.1gl.ru/#/document/86/562990/actual/	какими годами можно заменить года больничном по беременности и родам	какой год можно заменять год больничный беременность и род	0.9965247511863708
ДД, как можно отправить работника в отпуск без содержания? какие правила и тонкости ?	9327184	14	0				0.0
здравствуйте, подскажите, должна ли строка 1370 баланса быть равна строке 2300 отчета о фин.результатах	8906272	14	485842	С бухгалтерской отчетности за 2022 год компании должны по-новому заполнять строки баланса в связи с началом применения ФСБУ – по основным средствам, капвложениям и аренде (лизингу). Смотрите подробнее https://vip.1gl.ru/#/document/16/127282/actual/	строка 1370 баланса	строка 1370 баланс	0.9942188262939453
Подскажите пожалуйста, входят ли курсовые разницы в первоначальную стоимость оборудования, при постановке на учет?	6874346	14	500736	При переоценке валютной задолженности, остатка валюты на счетах и в кассе по текущему курсу валюты возникают курсовые разницы. Читайте подробнее https://vip.1gl.ru/#/document/16/129772/actual/	входят ли курсовые разницы в стоимость товара	входить ли курсовой разница стоимость товар	0.9996665716171265
приобрели мониторы во 2 квартале для собственных нужд, надо ли отчитываться по прослеживаемым товарам?	9613390	14	0				0.0
Добрый вечер ! по НДС подается уведомление и можно НДС платить частями по 1/3	8039380	14	552450	Подавать уведомление о начислениях для ЕНП по НДС не надо. Подробнее в материале https://vip.1gl.ru/#/document/86/631873/actual/	уведомление подается по ндс?	уведомление подаваться ндс	0.9958731532096863
Добрый день. При каких условиях можно заменить дополнительный отпуск (северный) на компенсацию без увольнения?	3424948	14	0				0.0
Доброе утро, подскажите пожалуйста гле прописан список услуг которые могут оказывать самозанятые юр лицам?	5696031	14	503172	Перейти на уплату налога на профессиональный доход можно, если физлицо или ИП реализует продукцию собственного производства, выполняет работы или оказывает услуги. Далее см. https://vip.1gl.ru/#/document/86/547919/actual/	какие услуги может оказывать самозанятый	какой услуга мочь оказывать самозанимать	0.9996973872184753
Добрый день! Скажите пожалуйста, нужно ли платить аванс сотруднику, если он был в отпуске	11814336	14	500889	Выплатите сотруднику зарплату за первую половину за отработанное время. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/453414/actual/	нужно ли платить аванс сотруднику если он в отпуске	платить аванс сотрудник он отпуск	0.9993770718574524
Здравствуйте! Надо распечатывать книгу покупок и книгу продаж, если декларация сдается в эл виде?	15980358	14	434352	Книгу покупок должны вести все плательщики НДС. Подробнее смотрите https://vip.1gl.ru/#/document/16/76401/actual/	книга покупок и книга продаж	книга покупка и книга продажа	0.9984838962554932
скажите пожалуйста на валютный контроль нужно ставить сделки в иностранной валюте между резидентами РФ?	476100	14	0				0.0
нужно ли подавать декларацию о ввозе из еаэс, если товар получили напрямую из европы	2678027	14	506726	Порядок расчета НДС при импорте (ввозе), который нужно уплатить на таможне, зависит от того, какие именно товары ввозят в Россию: подакцизные или неподакцизные, облагаемые таможенными пошлинами или не облагаемые пошлинами. Читайте подробнее https://vip.1gl.ru/#/document/86/556711/actual/	ндс при ввозе товаров из еаэс	ндс ввоз товар еаэс	0.9429869651794434
Здравствуйте, подскажите пожалуйста, не верно подали уведомление за июль на НДФЛ, как можно исправить?	10350764	14	563485	Ошибки в уведомлении по НДФЛ исправляют по общим правилам, порядок зависит от вида ошибки – в сумме или в реквизитах. Смотрите подробнее https://vip.1gl.ru/#/document/86/631835/actual/	как верно исправить уведомление по ндфл	верно исправлять уведомление ндфл	0.9977385997772217
Добрый день! Как отразить в учете расходы на покупку авиабилетов для сотрудников по безналу?	18999446	14	559924	Расходы на приобретение билета подтвердят:для авиатранспорта — маршрут-квитанция электронного билета и посадочный талон с отметкой о досмотре для перелета (п. 2 приказа Минтранса от 08.11.2006 № 134, письмо ФНС от 11.04.2019 № СД-3-3/3409);железнодорожного транспорта — контрольный купон электронного билета (п. 2 приказа Минтранса от 21.08.2012 № 322). Смотрите подробнее https://vip.1gl.ru/#/document/86/645968/actual/	как учесть расходы на покупку авиабилетов для сотрудников	учитывать расход покупка авиабилет сотрудник	0.9994098544120789
"Добрый день! Как исправить ошибку ККТ в чеке коррекция операция ""приход"". Не выделен НДС."	18629877	14	463437	Чеками коррекции исправляют ошибки в реквизитах чека, если касса работает с ФФД 1.1 и 1.2. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/277936/actual/	как исправить ошибку в чеке коррекции	исправлять ошибка чек коррекция	0.9907475709915161
Добрый день! Нужно ли включать в справку о доходах 2-НДФЛ компенсацию отпуска при увольнении?	221632	14	514212	Коды доходов и вычетов для справки о доходах к 6-НДФЛ (замена 2-НДФЛ) берите из приложений к приказу ФНС от 10.09.2015 № ММВ-7-11/387. Далее читайте https://vip.1gl.ru/#/document/86/569232/actual/	код дохода в справке 2-ндфл	код доход справка 2 ндфл	0.9933457374572754
Добрый вечер. При регистрации ип в какой момент нужно подавать заявление на выбор УСН?	3189268	14	0				0.0
Добрый день. Как заполнить 6 НДФЛ если есть задолженность по зарплате за 2022 год	322055	14	506888	Срок сдачи 6-НДФЛ и справки о доходах за 2022 год: 27 февраля 2023 года. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/545842/actual/	как заполнить 6 ндфл за 2022 год	заполнять 6 ндфл 2022 год	0.82466721534729
Добрый день. Просьба найти реквизиты для перечисления взносов на обязательное страхование от несчастных случаев	7594240	14	536273	С 1 января 2023 года страховые взносы на травматизм уплачивают в Социальный фонд России. Смотрите подробнее https://vip.1gl.ru/#/document/16/137116/actual/	реквизиты для перечисления взносов на обязательное страхование от несчастных случаев	реквизит перечисление взнос обязательный страхование несчастный случай	0.9996333718299866
Доброе утро, можно ли с 2023 года перейти на балансовый метод учета ПБУ 18/02?	746854	14	510379	ПБУ 18/02 не предписывает выводить разницу по каждому активу и обязательству в отдельности. Подробнее смотрите https://vip.1gl.ru/#/document/86/563714/actual/	пбу 18/02 балансовый метод	пбу 18 02 балансовый метод	0.9980791211128235
Здравствуйте. Если компания получила IT аккредитацию, то с какого периода действуют льготы по налогообложению?	4634836	14	0				0.0
добрый день! какой срок вынесения решения после того как получили акт по камеральной проверке?	983936	14	13048	Инспекторы должны рассмотреть в этот срок результаты проверки и принять окончательное решение. Далее см. https://vip.1gl.ru/#/document/16/75548/actual/	срок вынесения решения по камеральной проверке	срок вынесение решение камеральный проверка	0.9991767406463623
Добрый день. Компания покупает для сотрудников чай, сахар. Можно ли принять НДС к вычету?	20500852	14	544823	Покупку чая, кофе, сахара, сладостей для сотрудников учтите как расходы на оплату труда, если ведете персонифицированный учет доходов. Смотрите подробнее https://vip.1gl.ru/#/document/16/112879/actual/	расходы на чай кофе сахар	расход чай кофе сахар	0.9979722499847412
Здравствуйте. Подскажите, пожалуйста, как оформляется по бухгалтерскому учету лизинг у лизингополучателя в 2023 г	6208244	14	0				0.0
добрый день ,Ю дайте пожалуйста форму приказа о назначении ИО на время отпуска директора	601806	14	37763	Используется для того, чтобы возложить обязанности директора на время его отсутствия (отпуск, болезнь, командировка) на другого сотрудника. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/118/18177/actual/	приказ о назначении ио генерального директора на время отпуска	приказ назначение ио генеральный директор время отпуск	0.9996447563171387
Здравствуйте. Возврат товара от покупателя (качественного и некачественного) Какие документы оформляются при этих случаях?	19319375	14	445042	Возврат товара после приемки. Подробнее смотрите https://vip.1gl.ru/#/document/86/448970/actual/	какими документами оформляется возврат товара от покупателя	какой документ оформляться возврат товар покупатель	0.9981920719146729
Доброе утро! Какая сумма единовременного пособия при рождении ребенка? На неё устанавливается районный коэффициент?	4718756	14	562777	Сотрудникам, которые работают в местностях с особыми климатическими условиями, в районах Крайнего Севера и приравненных к ним местностях, платите зарплату и пособие за первые три дня болезни с учетом районного коэффициента. Подробнее см. https://vip.1gl.ru/#/document/16/124379/actual/	районный коэффициент при расчете единовременного пособия при рождении ребенка	районный коэффициент расчет единовременный пособие рождение ребенок	0.9976199865341187
Здравствуйте! Какие документы должны быть оформлены при отправлении в командировку сотрудника на личном автомобиле?	4124612	14	431115	Сотрудник может выехать в командировку как на личном, так и на служебном автомобиле. Смотрите подробнее https://vip.1gl.ru/#/document/16/63244/actual/	какие документы оформить, если сотрудник едет в командировку на личном автомобиле	какой документ оформлять сотрудник ехать командировка личный автомобиль	0.9995236396789551
Добрый день! Входит ли в состав накладных расходов в строительстве покупка спецодежды для рабочих?	7522261	14	542981	Расходы на покупку автомобиля включите в первоначальную стоимость основного средства. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/580894/actual/	входит ли в расход покупка легкового автомобиля при усн	входить ли расход покупка легковой автомобиль усна	0.011850912123918533
Добрый день. Можно ли заключить агентский договор с самозанятым (налогоплательщик налога на профессиональный доход)	10899032	14	503168	На спецрежим «Налог на профессиональный доход» вправе перейти россияне, иностранные граждане из стран — участниц ЕАЭС и граждане Украины (п. 2–3 ст. 5 Закона от 27.11.2018 № 422-ФЗ). Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/547917/actual/	налогоплательщики налога на профессиональный доход	налогоплательщик налог профессиональный доход	0.9997420907020569
Добрый день. Нужно ли составлять путевой лист для автопогрузчика, который передвигается по складу организации?	14030603	14	553015	В рекомендации — инструкция как заполнить путевой лист с образцами для каждого случая. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/139964/actual/	путевые листы на лизинговый автопогрузчик 2023 год	путевой лист лизинговый автопогрузчик 2023 год	0.9989765882492065
как оформить предоставление займа организации , если единственный учредитель и генеральный директор одно лицо	18368554	14	479039	Юридическое лицо должно заключить договор займа в письменной форме. Смотрите подробнее https://vip.1gl.ru/#/document/16/126744/actual/	займ учредителя если учредитель и директор одно лицо	заем учредитель учредитель и директор один лицо	0.9950729012489319
Добрый день. Какие проводки надо использовать в бухгалтерском учете, если автомобиль купили в лизинг?	618516	14	530939	Лизингополучатель (арендатор) признает не предмет аренды – автомобиль, а право пользования им. По ФСБУ 25/2018 учитывается объект аренды – договор. Далее см. https://vip.1gl.ru/#/document/86/595029/actual/	как поставить на учет в бухгалтерском учете ,купленная в лизинг автомобиль	поставлять учет бухгалтерский учет купить лизинг автомобиль	0.9995434284210205
