Query	UserId	Lenth	templateId	templateText	etalon	lem_etalon	score
"Здравствуйте. Автомобиль в лизинге , у нас право пользование арендой 
кто оплачивает транспортный налог?"	8677676	15	496163	Аренду автомобиля оплачивайте по КВР 244. Вот ссылка по вашему вопросу https://1elpu.ru/#/document/16/128972/actual/	аренда автомобиля лизинг	аренда автомобиль лизинг	0.042379219084978104
ДД, как можно отправить работника в отпуск без содержания? какие правила и тонкости ?	9327184	14	419020	Чтобы оформить сотруднику отпуск без сохранения заработной платы, ему необходимо написать заявление на такой отпуск. Подробнее в материале https://www.1kadry.ru/#/document/86/390998/actual/	как отправить работника в отпуск без содержания	работник отпуск без содержание	0.9953948855400085
приобрели мониторы во 2 квартале для собственных нужд, надо ли отчитываться по прослеживаемым товарам?	9613390	14	562115	Электронный отчет об операциях с прослеживаемыми товарами подавайте, если проводили операции с такими товарами и не являетесь плательщиком НДС. Вот ссылка по вашему вопросу https://www.gosfinansy.ru/#/document/86/649486/actual/	прослеживаемый товар приобретен для собственных нужд отчет	прослеживать товар приобретать собственный нужда отчет	0.9983772039413452
Добрый день. При каких условиях можно заменить дополнительный отпуск (северный) на компенсацию без увольнения?	3424948	14	449309	Компенсацию за неиспользованный отпуск рассчитайте за каждый год, в котором сотрудник не использовал или не полностью использовал отпуск. Подробнее смотрите https://www.1kadry.ru/#/document/86/154264/actual/	в каких случаях отпуск можно заменить компенсацией	какой случай отпуск можно заменять компенсация	0.9945700764656067
скажите пожалуйста на валютный контроль нужно ставить сделки в иностранной валюте между резидентами РФ?	476100	14	32504	Валютный контроль нужен, если компания работает с иностранными контрагентами: получает от них деньги или платит сама.Валютному контролю подлежат следующие операции:1. Подробнее смотрите https://www.1jur.ru/#/document/86/247071/actual/	валютный контроль резиденты	валютный контроль резидент	0.9993599653244019
Добрый вечер. При регистрации ип в какой момент нужно подавать заявление на выбор УСН?	3189268	14	441952	Образец уведомления понадобится, если ИП выбирает УСН при регистрации. Ссылка по вашему вопросу https://www.1jur.ru/#/document/118/103221/actual/	заявление на усн при регистрации ип	заявление усна регистрация ипать	0.9990366697311401
Здравствуйте. Если компания получила IT аккредитацию, то с какого периода действуют льготы по налогообложению?	4634836	14	524946	Льготу по налогу на прибыль и право на пониженные страховые тарифы получают только аккредитованные ИТ-организации, в том числе учреждения. Далее читайте https://www.gosfinansy.ru/#/document/86/587575/actual/	как получить аккредитацию как it-компания	получать аккредитация it компания	0.9992272257804871
Здравствуйте. Подскажите, пожалуйста, как оформляется по бухгалтерскому учету лизинг у лизингополучателя в 2023 г	6208244	14	546687	Первоначальную стоимость объекта лизинга формируйте на счете 106.01. Подробнее в материале https://www.gosfinansy.ru/#/document/86/621629/actual/	бухгалтерский учет лизинга у лизингополучателя	бухгалтерский учет лизинг лизингополучатель	0.9923921823501587
чтобы закрыть ИП на Осно какие отчеты нужно сдать перед подачей заявления на закрытие?	9318274	14	0				
Какие коммерческие организации должны пройти обязательный аудит по итогам 23 года , какие критерии	3667766	14	3395	В 2023 году к критериям по обязательному аудиту, которые действовали вплоть до конца 2022 года, добавились случаи, когда необходимо проводить обязательный аудит. Смотрите подробнее https://www.1fd.ru/#/document/86/231731/actual/	критерии обязательного аудита для организации	критерий обязательный аудит организация	0.9992222785949707
