Query	UserId	Lenth	templateId	templateText	etalon	lem_etalon	score	LemQuery	LenQuery	LenEtalon
Здравствуйте! Может ли сотрудница заменить расчетные годы при оформлении больничного по беременности и родам?	642230	14	509925	Заменять расчетный период можно только на те годы или год, которые непосредственно предшествуют наступлению страхового случая. Далее см. https://vip.1gl.ru/#/document/86/562990/actual/	какими годами можно заменить года больничном по беременности и родам	какой год можно заменять год больничный беременность и род	0.996524751186371	сотрудница заменять расчетный год оформление больничный беременность и род	9	9
здравствуйте, подскажите, должна ли строка 1370 баланса быть равна строке 2300 отчета о фин.результатах	8906272	14	485842	С бухгалтерской отчетности за 2022 год компании должны по-новому заполнять строки баланса в связи с началом применения ФСБУ – по основным средствам, капвложениям и аренде (лизингу). Смотрите подробнее https://vip.1gl.ru/#/document/16/127282/actual/	строка 1370 баланса	строка 1370 баланс	0.994218826293945	должный ли строка 1370 баланс быть равный строка 2300 отчет фин результат	12	3
Подскажите пожалуйста, входят ли курсовые разницы в первоначальную стоимость оборудования, при постановке на учет?	6874346	14	500736	При переоценке валютной задолженности, остатка валюты на счетах и в кассе по текущему курсу валюты возникают курсовые разницы. Читайте подробнее https://vip.1gl.ru/#/document/16/129772/actual/	входят ли курсовые разницы в стоимость товара	входить ли курсовой разница стоимость товар	0.999666571617126	входить ли курсовой разница первоначальный стоимость оборудование постановка учет	9	6
Добрый вечер ! по НДС подается уведомление и можно НДС платить частями по 1/3	8039380	14	552450	Подавать уведомление о начислениях для ЕНП по НДС не надо. Подробнее в материале https://vip.1gl.ru/#/document/86/631873/actual/	уведомление подается по ндс?	уведомление подаваться ндс	0.995873153209686	ндс подаваться уведомление и можно ндс платить часть 1 3	10	3
Доброе утро, подскажите пожалуйста гле прописан список услуг которые могут оказывать самозанятые юр лицам?	5696031	14	503172	Перейти на уплату налога на профессиональный доход можно, если физлицо или ИП реализует продукцию собственного производства, выполняет работы или оказывает услуги. Далее см. https://vip.1gl.ru/#/document/86/547919/actual/	какие услуги может оказывать самозанятый	какой услуга мочь оказывать самозанимать	0.999697387218475	гле прописывать список услуга который мочь оказывать самозанимать юр лицо	10	5
Добрый день! Скажите пожалуйста, нужно ли платить аванс сотруднику, если он был в отпуске	11814336	14	500889	Выплатите сотруднику зарплату за первую половину за отработанное время. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/453414/actual/	нужно ли платить аванс сотруднику если он в отпуске	платить аванс сотрудник он отпуск	0.999377071857452	платить аванс сотрудник он быть отпуск	6	5
Здравствуйте! Надо распечатывать книгу покупок и книгу продаж, если декларация сдается в эл виде?	15980358	14	434352	Книгу покупок должны вести все плательщики НДС. Подробнее смотрите https://vip.1gl.ru/#/document/16/76401/actual/	книга покупок и книга продаж	книга покупка и книга продажа	0.998483896255493	надо распечатывать книга покупка и книга продажа декларация сдаваться эл вид	11	5
нужно ли подавать декларацию о ввозе из еаэс, если товар получили напрямую из европы	2678027	14	506726	Порядок расчета НДС при импорте (ввозе), который нужно уплатить на таможне, зависит от того, какие именно товары ввозят в Россию: подакцизные или неподакцизные, облагаемые таможенными пошлинами или не облагаемые пошлинами. Читайте подробнее https://vip.1gl.ru/#/document/86/556711/actual/	ндс при ввозе товаров из еаэс	ндс ввоз товар еаэс	0.942986965179443	подавать декларация ввоз еаэс товар получать напрямую европа	8	4
Здравствуйте, подскажите пожалуйста, не верно подали уведомление за июль на НДФЛ, как можно исправить?	10350764	14	563485	Ошибки в уведомлении по НДФЛ исправляют по общим правилам, порядок зависит от вида ошибки – в сумме или в реквизитах. Смотрите подробнее https://vip.1gl.ru/#/document/86/631835/actual/	как верно исправить уведомление по ндфл	верно исправлять уведомление ндфл	0.997738599777222	не верно подавать уведомление июль ндфл можно исправлять	8	4
Добрый день! Как отразить в учете расходы на покупку авиабилетов для сотрудников по безналу?	18999446	14	559924	Расходы на приобретение билета подтвердят:для авиатранспорта — маршрут-квитанция электронного билета и посадочный талон с отметкой о досмотре для перелета (п. 2 приказа Минтранса от 08.11.2006 № 134, письмо ФНС от 11.04.2019 № СД-3-3/3409);железнодорожного транспорта — контрольный купон электронного билета (п. 2 приказа Минтранса от 21.08.2012 № 322). Смотрите подробнее https://vip.1gl.ru/#/document/86/645968/actual/	как учесть расходы на покупку авиабилетов для сотрудников	учитывать расход покупка авиабилет сотрудник	0.999409854412079	отражать учет расход покупка авиабилет сотрудник безнал	7	5
"Добрый день! Как исправить ошибку ККТ в чеке коррекция операция ""приход"". Не выделен НДС."	18629877	14	463437	Чеками коррекции исправляют ошибки в реквизитах чека, если касса работает с ФФД 1.1 и 1.2. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/277936/actual/	как исправить ошибку в чеке коррекции	исправлять ошибка чек коррекция	0.990747570991516	исправлять ошибка ккт чек коррекция операция приход не выделять ндс	10	4
Добрый день! Нужно ли включать в справку о доходах 2-НДФЛ компенсацию отпуска при увольнении?	221632	14	514212	Коды доходов и вычетов для справки о доходах к 6-НДФЛ (замена 2-НДФЛ) берите из приложений к приказу ФНС от 10.09.2015 № ММВ-7-11/387. Далее читайте https://vip.1gl.ru/#/document/86/569232/actual/	код дохода в справке 2-ндфл	код доход справка 2 ндфл	0.993345737457275	включать справка доход 2 ндфл компенсация отпуск увольнение	8	5
Добрый день. Как заполнить 6 НДФЛ если есть задолженность по зарплате за 2022 год	322055	14	506888	Срок сдачи 6-НДФЛ и справки о доходах за 2022 год: 27 февраля 2023 года. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/545842/actual/	как заполнить 6 ндфл за 2022 год	заполнять 6 ндфл 2022 год	0.82466721534729	заполнять 6 ндфл быть задолженность зарплата 2022 год	8	5
Добрый день. Просьба найти реквизиты для перечисления взносов на обязательное страхование от несчастных случаев	7594240	14	536273	С 1 января 2023 года страховые взносы на травматизм уплачивают в Социальный фонд России. Смотрите подробнее https://vip.1gl.ru/#/document/16/137116/actual/	реквизиты для перечисления взносов на обязательное страхование от несчастных случаев	реквизит перечисление взнос обязательный страхование несчастный случай	0.999633371829987	реквизит перечисление взнос обязательный страхование несчастный случай	7	7
Доброе утро, можно ли с 2023 года перейти на балансовый метод учета ПБУ 18/02?	746854	14	510379	ПБУ 18/02 не предписывает выводить разницу по каждому активу и обязательству в отдельности. Подробнее смотрите https://vip.1gl.ru/#/document/86/563714/actual/	пбу 18/02 балансовый метод	пбу 18 02 балансовый метод	0.998079121112824	с 2023 год переходить балансовый метод учет пбу 18 02	10	5
добрый день! какой срок вынесения решения после того как получили акт по камеральной проверке?	983936	14	13048	Инспекторы должны рассмотреть в этот срок результаты проверки и принять окончательное решение. Далее см. https://vip.1gl.ru/#/document/16/75548/actual/	срок вынесения решения по камеральной проверке	срок вынесение решение камеральный проверка	0.999176740646362	какой срок вынесение решение после получать акт камеральный проверка	9	5
Добрый день. Компания покупает для сотрудников чай, сахар. Можно ли принять НДС к вычету?	20500852	14	544823	Покупку чая, кофе, сахара, сладостей для сотрудников учтите как расходы на оплату труда, если ведете персонифицированный учет доходов. Смотрите подробнее https://vip.1gl.ru/#/document/16/112879/actual/	расходы на чай кофе сахар	расход чай кофе сахар	0.997972249984741	компания покупать сотрудник чай сахар принимать ндс вычет	8	4
добрый день ,Ю дайте пожалуйста форму приказа о назначении ИО на время отпуска директора	601806	14	37763	Используется для того, чтобы возложить обязанности директора на время его отсутствия (отпуск, болезнь, командировка) на другого сотрудника. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/118/18177/actual/	приказ о назначении ио генерального директора на время отпуска	приказ назначение ио генеральный директор время отпуск	0.999644756317139	ю форма приказ назначение ио время отпуск директор	8	7
Здравствуйте. Возврат товара от покупателя (качественного и некачественного) Какие документы оформляются при этих случаях?	19319375	14	445042	Возврат товара после приемки. Подробнее смотрите https://vip.1gl.ru/#/document/86/448970/actual/	какими документами оформляется возврат товара от покупателя	какой документ оформляться возврат товар покупатель	0.998192071914673	возврат товар покупатель качественный и некачественный какой документ оформляться этот случай	11	6
Доброе утро! Какая сумма единовременного пособия при рождении ребенка? На неё устанавливается районный коэффициент?	4718756	14	562777	Сотрудникам, которые работают в местностях с особыми климатическими условиями, в районах Крайнего Севера и приравненных к ним местностях, платите зарплату и пособие за первые три дня болезни с учетом районного коэффициента. Подробнее см. https://vip.1gl.ru/#/document/16/124379/actual/	районный коэффициент при расчете единовременного пособия при рождении ребенка	районный коэффициент расчет единовременный пособие рождение ребенок	0.997619986534119	какой сумма единовременный пособие рождение ребенок она устанавливаться районный коэффициент	10	7
Здравствуйте! Какие документы должны быть оформлены при отправлении в командировку сотрудника на личном автомобиле?	4124612	14	431115	Сотрудник может выехать в командировку как на личном, так и на служебном автомобиле. Смотрите подробнее https://vip.1gl.ru/#/document/16/63244/actual/	какие документы оформить, если сотрудник едет в командировку на личном автомобиле	какой документ оформлять сотрудник ехать командировка личный автомобиль	0.999523639678955	какой документ должный быть оформлять отправление командировка сотрудник личный автомобиль	10	8
Добрый день! Входит ли в состав накладных расходов в строительстве покупка спецодежды для рабочих?	7522261	14	542981	Расходы на покупку автомобиля включите в первоначальную стоимость основного средства. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/580894/actual/	входит ли в расход покупка легкового автомобиля при усн	входить ли расход покупка легковой автомобиль усна	0.0118509121239185	входить ли состав накладный расход строительство покупка спецодежда рабочий	9	7
Добрый день. Можно ли заключить агентский договор с самозанятым (налогоплательщик налога на профессиональный доход)	10899032	14	503168	На спецрежим «Налог на профессиональный доход» вправе перейти россияне, иностранные граждане из стран — участниц ЕАЭС и граждане Украины (п. 2–3 ст. 5 Закона от 27.11.2018 № 422-ФЗ). Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/547917/actual/	налогоплательщики налога на профессиональный доход	налогоплательщик налог профессиональный доход	0.999742090702057	заключать агентский договор с самозанимать налогоплательщик налог профессиональный доход	9	4
Добрый день. Нужно ли составлять путевой лист для автопогрузчика, который передвигается по складу организации?	14030603	14	553015	В рекомендации — инструкция как заполнить путевой лист с образцами для каждого случая. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/139964/actual/	путевые листы на лизинговый автопогрузчик 2023 год	путевой лист лизинговый автопогрузчик 2023 год	0.998976588249207	составлять путевой лист автопогрузчик который передвигаться склад организация	8	6
как оформить предоставление займа организации , если единственный учредитель и генеральный директор одно лицо	18368554	14	479039	Юридическое лицо должно заключить договор займа в письменной форме. Смотрите подробнее https://vip.1gl.ru/#/document/16/126744/actual/	займ учредителя если учредитель и директор одно лицо	заем учредитель учредитель и директор один лицо	0.995072901248932	оформлять предоставление заем организация единственный учредитель и генеральный директор один лицо	11	7
Добрый день. Какие проводки надо использовать в бухгалтерском учете, если автомобиль купили в лизинг?	618516	14	530939	Лизингополучатель (арендатор) признает не предмет аренды – автомобиль, а право пользования им. По ФСБУ 25/2018 учитывается объект аренды – договор. Далее см. https://vip.1gl.ru/#/document/86/595029/actual/	как поставить на учет в бухгалтерском учете ,купленная в лизинг автомобиль	поставлять учет бухгалтерский учет купить лизинг автомобиль	0.999543428421021	какой проводка надо использовать бухгалтерский учет автомобиль купить лизинг	9	7
Добрый день. Подскажите, пожалуйста. какую сумму НДФЛ в уведомлении енп указывать: начисленную или уплаченную?	17676552	14	552427	В каждом месяце свой перечень налогов и взносов, по которым нужно сдать уведомление. Далее см. https://vip.1gl.ru/#/document/16/139905/actual/	какую сумму ндфл указывать в уведомлении по енп за февраль	какой сумма ндфл указывать уведомление енп февраль	0.991400718688965	какой сумма ндфл уведомление енп указывать начислять или уплачивать	9	7
нужно ли подавать уведомление за 2 квартал по УСН(15%), если за полугодие уменьшение налога	6236371	14	552478	По итогам отчетного периода авансовый платеж по УСН может быть меньше суммы авансов за предыдущие отчетные периоды, поэтому возникает сумма платежа к уменьшению. Далее см. https://vip.1gl.ru/#/document/86/631885/actual/	как подать уведомление по усн за 2 квартал если сумма налога к уменьшению	подавать уведомление усна 2 квартал сумма налог уменьшение	0.998095750808716	подавать уведомление 2 квартал усна 15 полугодие уменьшение налог	9	8
Подскажите, где в НК прописано, что счет-фактура на аванс должна быть привязана к оплатам?	18435993	14	478798	Если покупатель перечисляет аванс, продавец выставляет ему счет-фактуру на полученную сумму. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/74954/actual/	что должно быть прописано в счет фактуре на аванс	должно быть прописывать счет фактура аванс	0.996632218360901	где нк прописывать счет фактура аванс должный быть привязывать оплата	10	6
Добрый день. Начисляется ли НДФЛ на компенсацию использование работником личного автомобиля для служебных целей	4719125	14	522161	Сумму компенсации за использование автомобиля и иного имущества в служебных целях не отражайте в 6-НДФЛ, если размер такой компенсации согласовали работодатель и сотрудник. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/133564/actual/	компенсация за использование личного автомобиля в служебных целях в 6-ндфл	компенсация использование личный автомобиль служебный цель 6 ндфл	0.149453282356262	начисляться ли ндфл компенсация использование работник личный автомобиль служебный цель	10	8
Скажите пожалуйста, по каким реквизитам перечислять взносы на травматизм по Мо, г. Истра.	745653	13	536273	С 1 января 2023 года страховые взносы на травматизм уплачивают в Социальный фонд России. Смотрите подробнее https://vip.1gl.ru/#/document/16/137116/actual/	по каким реквизитам перечислять страховые взносы на травматизм	какой реквизит перечислять страховой взнос травматизм	0.998568773269653	какой реквизит перечислять взнос травматизм мо г истра	8	6
Добрый день! Подскажите, до какой предельной суммы начисления применяются вычеты НДФЛ за ребенка?	1713901	13	550440	Стандартный вычет на ребенка предоставляйте до месяца, в котором доходы, полученные сотрудником с начала года, превысят 350 000 руб. Считайте только доходы резидентов, к которым применяют стандартный вычет. Подробнее в материале https://vip.1gl.ru/#/document/86/627606/actual/	предельная сумма вычетов на детей	предельный сумма вычет ребенок	0.998475074768066	какой предельный сумма начисление применяться вычет ндфл ребенок	8	4
Может ли компания принять расходы по текущему ремонту арендованного автомобиля в налоговом учете	12843887	13	496664	В рамках договора аренды арендатор может проводить текущий и капитальный ремонт. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/129003/actual/	расходы на ремонт арендованного автомобиля	расход ремонт арендовать автомобиль	0.999664545059204	компания принимать расход текущий ремонт арендовать автомобиль налоговый учет	9	4
как отразить беспроцентный займ от организации в другую организацию в бу и ну?	12717601	13	540438	Беспроцентный денежный заем можно выдать как организации, так и физлицу, в том числе директору и иному сотруднику, собственнику бизнеса. Подробнее см. https://vip.1gl.ru/#/document/86/610537/actual/	может ли организация предоставить займ беспроцентный другой организации	организация предоставлять заем беспроцентный другой организация	0.999642252922058	отражать беспроцентный заем организация другой организация бу и ну	9	6
добрый день, вопрос следующий , все ли детские товары попадают под ндс 10%	5863340	13	528896	При реализации на внутреннем рынке и при ввозе (импорте) ряда товаров применяют ставку НДС 10 процентов. Далее см. https://vip.1gl.ru/#/document/86/594021/actual/	ндс 10% на детские товары	ндс 10 детский товар	0.994951367378235	весь ли детский товар попадать ндс 10	7	4
Добрый день! УСН доходы , какая налоговая ставка для ИП в Элисте ?	20235820	13	503982	Ставки налога на упрощенке зависят от объекта налогообложения, региона и категории налогоплательщика, величины дохода и численности работников. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/130461/actual/	налоговая ставка усн доходы - расходы	налоговый ставка усна доход расход	0.997463703155518	усна доход какой налоговый ставка ипать элиста	7	5
Может ли директор дать ООО беспроцентный займ наличными средствами? Как это правильно оформить?	768024	13	540438	Беспроцентный денежный заем можно выдать как организации, так и физлицу, в том числе директору и иному сотруднику, собственнику бизнеса. Подробнее см. https://vip.1gl.ru/#/document/86/610537/actual/	может ли ооо дать займ беспроцентный сотруднику	ооо давать заем беспроцентный сотрудник	0.999558866024017	директор давать ооо беспроцентный заем наличный средство это правильно оформлять	10	5
Добрый день! Какой период с момента открытия организации директор может работать без зарплаты?	18651254	13	511933	Если директор работает в компании по трудовому договору, ему нужно платить зарплату. Подробнее в материале https://vip.1gl.ru/#/document/86/565908/actual/	может ли директор работать без зарплаты	директор работать без зарплата	0.998542368412018	какой период с момент открытие организация директор мочь работать без зарплата	11	4
