Query	UserId	Lenth	templateId	templateText	etalon	lem_etalon	score	LemQuery	LenQuery	LenEtalon	ShortEtalon	ShortLemEtalon	LenShortEtalon
Здравствуйте! Может ли сотрудница заменить расчетные годы при оформлении больничного по беременности и родам?	642230	14	509925	Заменять расчетный период можно только на те годы или год, которые непосредственно предшествуют наступлению страхового случая. Далее см. https://vip.1gl.ru/#/document/86/562990/actual/	какими годами можно заменить года больничном по беременности и родам	какой год можно заменять год больничный беременность и род	0.996524751186371	сотрудница заменять расчетный год оформление больничный беременность и род	9	9	замена года при расчете больничных	замена год расчет больничный	4
здравствуйте, подскажите, должна ли строка 1370 баланса быть равна строке 2300 отчета о фин.результатах	8906272	14	485842	С бухгалтерской отчетности за 2022 год компании должны по-новому заполнять строки баланса в связи с началом применения ФСБУ – по основным средствам, капвложениям и аренде (лизингу). Смотрите подробнее https://vip.1gl.ru/#/document/16/127282/actual/	строка 1370 баланса	строка 1370 баланс	0.994218826293945	должный ли строка 1370 баланс быть равный строка 2300 отчет фин результат	12	3	заполнение баланса по осв	заполнение баланс осв	3
Подскажите пожалуйста, входят ли курсовые разницы в первоначальную стоимость оборудования, при постановке на учет?	6874346	14	500736	При переоценке валютной задолженности, остатка валюты на счетах и в кассе по текущему курсу валюты возникают курсовые разницы. Читайте подробнее https://vip.1gl.ru/#/document/16/129772/actual/	входят ли курсовые разницы в стоимость товара	входить ли курсовой разница стоимость товар	0.999666571617126	входить ли курсовой разница первоначальный стоимость оборудование постановка учет	9	6	курсовые разница при поступлении товаров	курсовой разница поступление товар	4
Добрый вечер ! по НДС подается уведомление и можно НДС платить частями по 1/3	8039380	14	552450	Подавать уведомление о начислениях для ЕНП по НДС не надо. Подробнее в материале https://vip.1gl.ru/#/document/86/631873/actual/	уведомление подается по ндс?	уведомление подаваться ндс	0.995873153209686	ндс подаваться уведомление и можно ндс платить часть 1 3	10	3	сроки подачи уведомлений с 2023 по ндс	срок подача уведомление с 2023 ндс	6
Доброе утро, подскажите пожалуйста гле прописан список услуг которые могут оказывать самозанятые юр лицам?	5696031	14	503172	Перейти на уплату налога на профессиональный доход можно, если физлицо или ИП реализует продукцию собственного производства, выполняет работы или оказывает услуги. Далее см. https://vip.1gl.ru/#/document/86/547919/actual/	какие услуги может оказывать самозанятый	какой услуга мочь оказывать самозанимать	0.999697387218475	гле прописывать список услуга который мочь оказывать самозанимать юр лицо	10	5	виды деятельности у самозанятых	вид деятельность самозанимать	3
Добрый день! Скажите пожалуйста, нужно ли платить аванс сотруднику, если он был в отпуске	11814336	14	500889	Выплатите сотруднику зарплату за первую половину за отработанное время. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/453414/actual/	нужно ли платить аванс сотруднику если он в отпуске	платить аванс сотрудник он отпуск	0.999377071857452	платить аванс сотрудник он быть отпуск	6	5	в каком размере выдавать аванс по зарплате командировочных	какой размер выдавать аванс зарплата командировочный	6
Здравствуйте! Надо распечатывать книгу покупок и книгу продаж, если декларация сдается в эл виде?	15980358	14	434352	Книгу покупок должны вести все плательщики НДС. Подробнее смотрите https://vip.1gl.ru/#/document/16/76401/actual/	книга покупок и книга продаж	книга покупка и книга продажа	0.998483896255493	надо распечатывать книга покупка и книга продажа декларация сдаваться эл вид	11	5	книги покупок и продаж	книга покупка и продажа	4
нужно ли подавать декларацию о ввозе из еаэс, если товар получили напрямую из европы	2678027	14	506726	Порядок расчета НДС при импорте (ввозе), который нужно уплатить на таможне, зависит от того, какие именно товары ввозят в Россию: подакцизные или неподакцизные, облагаемые таможенными пошлинами или не облагаемые пошлинами. Читайте подробнее https://vip.1gl.ru/#/document/86/556711/actual/	ндс при ввозе товаров из еаэс	ндс ввоз товар еаэс	0.942986965179443	подавать декларация ввоз еаэс товар получать напрямую европа	8	4	ндс при импорте товаров ddu	ндс импорт товар ddu	4
"Добрый день! Как исправить ошибку ККТ в чеке коррекция операция ""приход"". Не выделен НДС."	18629877	14	463437	Чеками коррекции исправляют ошибки в реквизитах чека, если касса работает с ФФД 1.1 и 1.2. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/277936/actual/	как исправить ошибку в чеке коррекции	исправлять ошибка чек коррекция	0.990747570991516	исправлять ошибка ккт чек коррекция операция приход не выделять ндс	10	4	акт о чеке коррекции	акт чек коррекция	3
Добрый день! Нужно ли включать в справку о доходах 2-НДФЛ компенсацию отпуска при увольнении?	221632	14	514212	Коды доходов и вычетов для справки о доходах к 6-НДФЛ (замена 2-НДФЛ) берите из приложений к приказу ФНС от 10.09.2015 № ММВ-7-11/387. Далее читайте https://vip.1gl.ru/#/document/86/569232/actual/	код дохода в справке 2-ндфл	код доход справка 2 ндфл	0.993345737457275	включать справка доход 2 ндфл компенсация отпуск увольнение	8	5	6-ндфл за 2023 год.код дохода премия пункт 28	6 ндфл 2023 год код доход премия пункт 28	9
