Query	UserId	Lenth	templateId	templateText
"Здравствуйте. Автомобиль в лизинге , у нас право пользование арендой 
кто оплачивает транспортный налог?"	8677676	15	0	
Здравствуйте! Может ли сотрудница заменить расчетные годы при оформлении больничного по беременности и родам?	642230	14	0	
ДД, как можно отправить работника в отпуск без содержания? какие правила и тонкости ?	9327184	14	0	
здравствуйте, подскажите, должна ли строка 1370 баланса быть равна строке 2300 отчета о фин.результатах	8906272	14	0	
Подскажите пожалуйста, входят ли курсовые разницы в первоначальную стоимость оборудования, при постановке на учет?	6874346	14	0	
приобрели мониторы во 2 квартале для собственных нужд, надо ли отчитываться по прослеживаемым товарам?	9613390	14	561692	Прослеживаемости подлежат только мониторы, которые одновременно соответствуют четырем условиям:импортированы в Россию и иные территории, находящиеся под ее юрисдикцией;находятся у организации (ИП) в собственности;включены в перечень, утвержденный постановлением Правительства от 01.07.2021 № 1110;не подпадают под действие пункта 6 положения, утвержденного постановлением Правительства от 01.07.2021 № 1108. Подробнее смотрите https://vip.1gl.ru/#/document/86/648842/actual/
Добрый вечер ! по НДС подается уведомление и можно НДС платить частями по 1/3	8039380	14	0	
Добрый день. При каких условиях можно заменить дополнительный отпуск (северный) на компенсацию без увольнения?	3424948	14	0	
Доброе утро, подскажите пожалуйста гле прописан список услуг которые могут оказывать самозанятые юр лицам?	5696031	14	503172	Перейти на уплату налога на профессиональный доход можно, если физлицо или ИП реализует продукцию собственного производства, выполняет работы или оказывает услуги. Далее см. https://vip.1gl.ru/#/document/86/547919/actual/
Добрый день! Скажите пожалуйста, нужно ли платить аванс сотруднику, если он был в отпуске	11814336	14	500889	Выплатите сотруднику зарплату за первую половину за отработанное время. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/453414/actual/
Здравствуйте! Надо распечатывать книгу покупок и книгу продаж, если декларация сдается в эл виде?	15980358	14	0	
скажите пожалуйста на валютный контроль нужно ставить сделки в иностранной валюте между резидентами РФ?	476100	14	0	
нужно ли подавать декларацию о ввозе из еаэс, если товар получили напрямую из европы	2678027	14	0	
Здравствуйте, подскажите пожалуйста, не верно подали уведомление за июль на НДФЛ, как можно исправить?	10350764	14	0	
Добрый день! Как отразить в учете расходы на покупку авиабилетов для сотрудников по безналу?	18999446	14	0	
"Добрый день! Как исправить ошибку ККТ в чеке коррекция операция ""приход"". Не выделен НДС."	18629877	14	0	
Добрый день! Нужно ли включать в справку о доходах 2-НДФЛ компенсацию отпуска при увольнении?	221632	14	0	
Добрый вечер. При регистрации ип в какой момент нужно подавать заявление на выбор УСН?	3189268	14	0	
Добрый день. Как заполнить 6 НДФЛ если есть задолженность по зарплате за 2022 год	322055	14	0	
Добрый день. Просьба найти реквизиты для перечисления взносов на обязательное страхование от несчастных случаев	7594240	14	536273	С 1 января 2023 года страховые взносы на травматизм уплачивают в Социальный фонд России. Смотрите подробнее https://vip.1gl.ru/#/document/16/137116/actual/
Доброе утро, можно ли с 2023 года перейти на балансовый метод учета ПБУ 18/02?	746854	14	0	
Здравствуйте. Если компания получила IT аккредитацию, то с какого периода действуют льготы по налогообложению?	4634836	14	522885	Льготу по налогу на прибыль и право на пониженные страховые тарифы получают только аккредитованные ИТ-компании. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/585056/actual/
добрый день! какой срок вынесения решения после того как получили акт по камеральной проверке?	983936	14	0	
Добрый день. Компания покупает для сотрудников чай, сахар. Можно ли принять НДС к вычету?	20500852	14	0	
Здравствуйте. Подскажите, пожалуйста, как оформляется по бухгалтерскому учету лизинг у лизингополучателя в 2023 г	6208244	14	0	
добрый день ,Ю дайте пожалуйста форму приказа о назначении ИО на время отпуска директора	601806	14	0	
Здравствуйте. Возврат товара от покупателя (качественного и некачественного) Какие документы оформляются при этих случаях?	19319375	14	0	
Доброе утро! Какая сумма единовременного пособия при рождении ребенка? На неё устанавливается районный коэффициент?	4718756	14	562777	Сотрудникам, которые работают в местностях с особыми климатическими условиями, в районах Крайнего Севера и приравненных к ним местностях, платите зарплату и пособие за первые три дня болезни с учетом районного коэффициента. Подробнее см. https://vip.1gl.ru/#/document/16/124379/actual/
Здравствуйте! Какие документы должны быть оформлены при отправлении в командировку сотрудника на личном автомобиле?	4124612	14	0	
Добрый день! Входит ли в состав накладных расходов в строительстве покупка спецодежды для рабочих?	7522261	14	554868	Из рекомендации вы узнаете, как учитывать спецодежду, в каких случаях она относится на счета учета в состав запасов, когда – в состав основных средств. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/140170/actual/
Добрый день. Можно ли заключить агентский договор с самозанятым (налогоплательщик налога на профессиональный доход)	10899032	14	0	
Добрый день. Нужно ли составлять путевой лист для автопогрузчика, который передвигается по складу организации?	14030603	14	0	
как оформить предоставление займа организации , если единственный учредитель и генеральный директор одно лицо	18368554	14	0	
Добрый день. Какие проводки надо использовать в бухгалтерском учете, если автомобиль купили в лизинг?	618516	14	0	
Добрый день. Подскажите, пожалуйста. какую сумму НДФЛ в уведомлении енп указывать: начисленную или уплаченную?	17676552	14	0	
чтобы закрыть ИП на Осно какие отчеты нужно сдать перед подачей заявления на закрытие?	9318274	14	445568	Если ликвидация организации началась в прошлом календарном году, но еще не завершилась, в поле «Налоговый период (код)» в декларации при УСН укажите код 34 «Календарный год». Подробнее в материале https://vip.1gl.ru/#/document/86/460550/actual/
нужно ли подавать уведомление за 2 квартал по УСН(15%), если за полугодие уменьшение налога	6236371	14	0	
Подскажите, где в НК прописано, что счет-фактура на аванс должна быть привязана к оплатам?	18435993	14	479099	Авансовый счет-фактуру нужно выставить в течение 5 календарных дней со дня получения предоплаты (полной или частичной) в счет предстоящих поставок товаров, работ, услуг, передачи имущественных прав. Дату поступления аванса включите в пятидневный срок. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/323687/actual/
Добрый день. Начисляется ли НДФЛ на компенсацию использование работником личного автомобиля для служебных целей	4719125	14	0	
